iter	Logloss
0	0.6564594233
1	0.6241755457
2	0.5958160872
3	0.571033519
4	0.5493152259
5	0.5302348311
6	0.513565007
7	0.4988925458
8	0.4860775542
9	0.474842129
10	0.4649674723
11	0.4562017849
12	0.4485146465
13	0.4418248819
14	0.4359014548
15	0.4307050271
16	0.4261210999
17	0.422052462
18	0.4184542989
19	0.4152649246
20	0.4124693898
21	0.4099930358
22	0.40779782
23	0.4057919651
24	0.404152881
25	0.4025693931
26	0.401182634
27	0.3999411518
28	0.3988565232
29	0.3978836875
30	0.3969481246
31	0.3961481256
32	0.3954649841
33	0.3948311544
34	0.3943202678
35	0.3938642256
36	0.3933127468
37	0.3928924845
38	0.3925293596
39	0.3922070907
40	0.3919163814
41	0.3916693632
42	0.3914168992
43	0.39119304
44	0.391003059
45	0.3908279264
46	0.3907634697
47	0.3906153719
48	0.3904987965
49	0.3903419696
50	0.3902995075
51	0.3901167482
52	0.3899830142
53	0.3898553399
54	0.3897221979
55	0.3896651948
56	0.3896121419
57	0.3895530688
58	0.3895123601
59	0.3894963676
60	0.3894280509
61	0.3893744535
62	0.3893463892
63	0.3893035159
64	0.3892447863
65	0.3892066199
66	0.3891499922
67	0.3890707676
68	0.389051479
69	0.389022162
70	0.3889655135
71	0.3889497866
72	0.3889459568
73	0.3888990522
74	0.3888781326
75	0.3888477458
76	0.3888452423
77	0.3888128822
78	0.3887669894
79	0.3887305249
80	0.3886470166
81	0.3886140687
82	0.3884810749
83	0.388453991
84	0.3884327268
85	0.3883937071
86	0.3883581354
87	0.3883436695
88	0.3883224596
89	0.3883060744
90	0.388294851
91	0.3882831089
92	0.3882752107
93	0.3882296821
94	0.3882293264
95	0.3882120466
96	0.3881847112
97	0.388152649
98	0.3881412494
99	0.3881359618
100	0.3880946885
101	0.3880703329
102	0.3880593349
103	0.3880327256
104	0.3879925013
105	0.387973744
106	0.3879528094
107	0.3879166616
108	0.3879040731
109	0.3878938773
110	0.3878840938
111	0.3878414292
112	0.3878234809
113	0.3878170945
114	0.387739069
115	0.387720721
116	0.3877196037
117	0.3877018409
118	0.3876992948
119	0.3876912371
120	0.3876827232
121	0.3876775881
122	0.3876571493
123	0.3876467073
124	0.3876196104
125	0.3876176007
126	0.3876095809
127	0.387569744
128	0.3875587171
129	0.3875520947
130	0.3875384825
131	0.3875289595
132	0.3875181709
133	0.3874962375
134	0.3874840026
135	0.3874440865
136	0.3874316689
137	0.3873989696
138	0.3873866797
139	0.3873451653
140	0.3873332719
141	0.3873163848
142	0.3872868328
143	0.3872747435
144	0.3872622035
145	0.3872465688
146	0.3872283226
147	0.3871627165
148	0.3871584571
149	0.3871336988
150	0.3871283174
151	0.3870762627
152	0.3870489303
153	0.3870070166
154	0.3869959628
155	0.3869603558
156	0.3869600067
157	0.3869370952
158	0.3869207313
159	0.3869151405
160	0.386897334
161	0.3868926646
162	0.3868696701
163	0.3868685463
164	0.386846808
165	0.3868381296
166	0.3868310102
167	0.3868225388
168	0.3868200806
169	0.3868148721
170	0.3868095995
171	0.3868022486
172	0.3867945155
173	0.3867843113
174	0.3867705562
175	0.3867574646
176	0.386735902
177	0.3867184701
178	0.3867083673
179	0.3866703448
180	0.3866700761
181	0.3866671571
182	0.3866168511
183	0.38661682
184	0.3865935955
185	0.386584369
186	0.386576501
187	0.3865726318
188	0.3865225942
189	0.3864899481
190	0.38644877
191	0.3864400167
192	0.3864202582
193	0.3863960683
194	0.3863641455
195	0.3863491335
196	0.3863087783
197	0.3862904018
198	0.3862860235
199	0.3862751047
200	0.3862599605
201	0.3862148237
202	0.3861772333
203	0.3861184256
204	0.386102785
205	0.3860920021
206	0.3860889365
207	0.3860355622
208	0.3860222602
209	0.3860176681
210	0.3860080266
211	0.3859701494
212	0.3859126199
213	0.3858969457
214	0.3858797809
215	0.3858707753
216	0.3858209022
217	0.3858108333
218	0.3857873286
219	0.385772007
220	0.3857380597
221	0.3857223069
222	0.3857152497
223	0.3856810391
224	0.3856408721
225	0.3856315956
226	0.3856189993
227	0.3856068383
228	0.385590926
229	0.3855598477
230	0.3855495911
231	0.3855418895
232	0.3855324941
233	0.3854779205
234	0.3854463234
235	0.3854128205
236	0.3853887817
237	0.3853617232
238	0.3853403591
239	0.3853058612
240	0.385300894
241	0.3852696673
242	0.3852294609
243	0.385221249
244	0.3852109725
245	0.3852005308
246	0.385152308
247	0.3850940527
248	0.3850667726
249	0.3850476572
250	0.3849822344
251	0.3849636475
252	0.3849410583
253	0.3849070272
254	0.3848865831
255	0.3848656674
256	0.3848561912
257	0.3848201304
258	0.3848023167
259	0.384793986
260	0.3847555335
261	0.3846458811
262	0.3846196364
263	0.384601447
264	0.3845833459
265	0.3845247244
266	0.3844959043
267	0.3844625635
268	0.3844445363
269	0.3844269389
270	0.3843849011
271	0.3843314122
272	0.3842900585
273	0.3841942897
274	0.3841872714
275	0.3841347939
276	0.384100743
277	0.3840963054
278	0.3840821392
279	0.3840371812
280	0.3839780146
281	0.38395021
282	0.3839296279
283	0.3839007231
284	0.3838632352
285	0.3838504122
286	0.3838193323
287	0.3838087054
288	0.3837868923
289	0.3837714274
290	0.383725595
291	0.3836691389
292	0.3836504798
293	0.3836111721
294	0.3835823868
295	0.3835466096
296	0.3834780215
297	0.3834349418
298	0.3833997313
299	0.3833754041
300	0.3833627144
301	0.3833349598
302	0.3833276288
303	0.3833128632
304	0.383246752
305	0.3832007864
306	0.3831828271
307	0.3831609599
308	0.3831431116
309	0.3831237809
310	0.3830873729
311	0.3830525267
312	0.3830032462
313	0.3829768694
314	0.3829364032
315	0.3829041842
316	0.3828990206
317	0.3828745515
318	0.3828408196
319	0.3828251061
320	0.3828108374
321	0.3827747916
322	0.3827499814
323	0.3827377184
324	0.3827276254
325	0.3827165506
326	0.3826857495
327	0.382677212
328	0.3826675457
329	0.3826568724
330	0.3826463778
331	0.3826358409
332	0.3826222204
333	0.3825883116
334	0.382566123
335	0.3825394809
336	0.3825266048
337	0.3825142776
338	0.3824837615
339	0.3824336782
340	0.3824034533
341	0.3823943424
342	0.3823771607
343	0.3823556875
344	0.3823433482
345	0.3823351498
346	0.3822938308
347	0.3822837532
348	0.3822639909
349	0.3822450978
350	0.3822071982
351	0.3821992383
352	0.3821943996
353	0.3821827529
354	0.382164283
355	0.3821220787
