iter	Passed	Remaining
399	43534	65302
400	43601	65130
401	43714	65027
402	43808	64897
403	43884	64739
404	44018	64669
405	44113	64540
406	44196	64394
407	44345	64344
408	44442	64218
409	44521	64067
410	44668	64013
411	44784	63915
412	44918	63843
413	45018	63722
414	45112	63592
415	45220	63483
416	45338	63387
417	45417	63236
418	45554	63168
419	45649	63039
420	45772	62950
421	45882	62844
422	45988	62730
423	46082	62601
424	46192	62495
425	46293	62376
426	46386	62247
427	46506	62153
428	46602	62028
429	46694	61897
430	46824	61816
431	46902	61668
432	46990	61532
433	47120	61452
434	47213	61322
435	47298	61184
436	47486	61178
437	47569	61036
438	47674	60923
439	47792	60826
440	47876	60686
441	48008	60608
442	48108	60488
443	48192	60348
444	48346	60297
445	48459	60194
446	48520	60026
447	48708	60016
448	48804	59891
449	48951	59829
450	49089	59755
451	49212	59664
452	49332	59569
453	49397	59407
454	49565	59370
455	49653	59235
456	49763	59128
457	49869	59015
458	49949	58873
459	50044	58747
460	50188	58679
461	50288	58561
462	50374	58426
463	50491	58325
464	50605	58223
465	50667	58060
466	50733	57903
467	50803	57751
468	50894	57622
469	50977	57484
470	51063	57351
471	51155	57225
472	51277	57131
473	51381	57018
474	51465	56883
475	51560	56759
476	51744	56734
477	51829	56600
478	51928	56482
479	52052	56389
480	52156	56277
481	52298	56204
482	52427	56117
483	52550	56025
484	52686	55945
485	52766	55806
486	52916	55741
487	53019	55626
488	53140	55531
489	53231	55403
490	53318	55272
491	53435	55173
492	53536	55056
493	53661	54965
494	53816	54904
495	53898	54768
496	54055	54708
497	54154	54589
498	54250	54467
499	54352	54352
500	54451	54233
501	54555	54120
502	54658	54006
503	54747	53878
504	54870	53783
505	54950	53647
506	55025	53506
507	55099	53363
508	55230	53277
509	55384	53212
510	55596	53203
511	55682	53072
512	55823	52993
513	55963	52915
514	56083	52816
515	56184	52699
516	56275	52574
517	56367	52450
518	56453	52320
519	56537	52188
520	56645	52079
521	56801	52014
522	56875	51872
523	57049	51823
524	57127	51686
525	57247	51588
526	57335	51460
527	57454	51360
528	57557	51246
529	57651	51125
530	57730	50989
531	57807	50853
532	57916	50744
533	57975	50592
534	58070	50472
535	58214	50394
536	58291	50258
537	58369	50124
538	58522	50053
539	58604	49922
540	58675	49781
541	58846	49726
542	58941	49606
543	59063	49509
544	59181	49408
545	59256	49272
546	59386	49181
547	59479	49059
548	59560	48928
549	59722	48863
550	59842	48764
551	59947	48652
552	60078	48562
553	60144	48419
554	60247	48306
555	60328	48175
556	60450	48078
557	60606	48007
558	60683	47873
559	60755	47736
560	60890	47648
561	60998	47539
562	61070	47403
563	61194	47306
564	61286	47185
565	61381	47066
566	61517	46979
567	61627	46871
568	61693	46730
569	61815	46632
570	61907	46511
571	62046	46426
572	62163	46324
573	62239	46192
574	62406	46126
575	62540	46037
576	62663	45938
577	62742	45808
578	62832	45686
579	62981	45607
580	63082	45493
581	63154	45358
582	63279	45261
583	63364	45136
584	63453	45014
585	63584	44921
586	63690	44811
587	63763	44677
588	63878	44573
589	63971	44454
590	64072	44340
591	64176	44230
592	64296	44129
593	64406	44022
594	64494	43899
595	64572	43770
596	64716	43686
597	64797	43559
598	64891	43441
599	64987	43325
600	65113	43228
601	65236	43129
602	65323	43007
603	65408	42883
604	65495	42761
605	65652	42685
606	65741	42563
607	65895	42485
608	65997	42372
609	66068	42240
610	66222	42161
611	66319	42045
612	66392	41915
613	66509	41812
614	66607	41697
615	66670	41560
616	66840	41491
617	66942	41378
618	67058	41274
619	67159	41162
620	67284	41064
621	67407	40964
622	67523	40860
623	67632	40752
624	67722	40633
625	67855	40539
626	67941	40418
627	68136	40361
628	68222	40239
629	68385	40163
630	68515	40066
631	68624	39958
632	68702	39832
633	68837	39739
634	68970	39644
635	69066	39528
636	69163	39413
637	69249	39291
638	69358	39183
639	69493	39090
640	69604	38982
641	69720	38878
642	69835	38773
643	69924	38653
644	70068	38564
645	70178	38456
646	70251	38328
647	70400	38242
648	70506	38132
649	70568	37998
650	70739	37923
651	70840	37810
652	70937	37695
